Date,Day,Facility,Flu,Heatwave,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
01/15/2018,Mon,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,7,7,15,11,12,7,5,5,5,9,6,12,6,9,4,10,4,2,4,8,10,9,3,4,1,0,0,0,0,0,0
01/16/2018,Tue,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,10,3,9,3,10,9,2,6,4,3,5,8,8,3,7,6,2,3,4,7,2,2,3,0,0,0,0,0,0,0
01/17/2018,Wed,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,11,8,5,5,6,5,11,12,9,4,5,11,7,5,6,2,9,6,7,10,13,8,6,2,0,0,0,0,0,0
01/18/2018,Thu,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,9,7,5,7,5,7,8,6,5,7,7,6,7,6,5,3,7,6,5,9,7,9,0,0,0,0,0,0,0,0
01/19/2018,Fri,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,10,6,9,7,7,4,2,12,12,5,9,6,9,8,10,9,6,5,11,7,8,1,4,0,0,0,0,0,0,0
01/20/2018,Sat,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,9,17,10,5,9,5,9,9,3,6,1,3,6,7,5,6,4,0,0,0,0,0,0,0,0
01/21/2018,Sun,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,9,5,6,9,9,8,4,1,3,1,3,1,2,0,3,2,0,0,0,0,0,0,0,0
01/22/2018,Mon,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,9,15,14,8,10,9,7,8,6,10,5,5,9,5,12,5,8,11,11,5,12,8,7,3,1,0,0,0,0,0,0
01/23/2018,Tue,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,8,12,7,5,4,9,0,4,4,10,2,7,6,3,11,7,7,12,5,14,13,6,2,1,0,0,0,0,0,0
01/24/2018,Wed,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,11,6,7,8,8,3,4,4,8,7,5,9,4,3,11,12,13,4,1,9,6,9,7,3,0,0,0,0,0,0,0
01/25/2018,Thu,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,9,8,8,1,5,5,5,7,2,8,11,7,4,5,10,7,5,3,9,6,3,4,1,0,0,0,0,0,0,0
01/26/2018,Fri,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,6,7,7,10,10,9,4,8,9,5,8,5,5,11,11,5,9,5,13,9,14,2,4,1,0,0,0,0,0,0
01/27/2018,Sat,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,7,9,8,16,14,7,9,11,11,4,4,2,4,1,5,3,3,3,0,0,0,0,0,0,0,0
01/28/2018,Sun,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,11,2,7,3,10,5,6,4,6,5,5,2,3,9,4,4,2,0,0,0,0,0,0,0
